organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Urban Redevelopment Authority,cb3b14a6-a20c-472d-b449-c7fd35be5cc6,Master Plan 2019 SDCP Building Height Control Text layer,2020-01-25,2020-01-25,Annotation of the Building Height Control layer in the Building Height Control Plan. Building Height Control Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,c6dbe902-99f0-4f7c-9f25-e718e0ea9817,Master Plan 2019 SDCP Building Height Control Text layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,faffb4b6-13d8-4db2-9175-3c026444033f,Master Plan 2019 SDCP Car Lite Precinct layer,2020-01-25,2020-01-25,Indicative polygon of Car Lite Precinctt in the Connectivity Plan. The Connectivity Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,5bbdfd8c-eb36-469f-a310-cc8739a41174,Master Plan 2019 SDCP Car Lite Precinct layer (KML),na,KML
Urban Redevelopment Authority,faffb4b6-13d8-4db2-9175-3c026444033f,Master Plan 2019 SDCP Car Lite Precinct layer,2020-01-25,2020-01-25,Indicative polygon of Car Lite Precinctt in the Connectivity Plan. The Connectivity Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,20c57f7e-b682-4cc4-b5cb-ee906d2c19c0,Master Plan 2019 SDCP Car Lite Precinct layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,c3492e50-0c20-46f4-abe5-e28555fa712f,Master Plan 2019 SDCP Car Lite Precinct Name layer,2020-01-25,2020-01-25,Annotation of the Car Lite Precinct Name in the Connectivity Plan. The Connectivity Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,59dc2f86-7d79-4c71-9d08-69fac376c1d1,Master Plan 2019 SDCP Car Lite Precinct Name layer (KML),na,KML
Urban Redevelopment Authority,c3492e50-0c20-46f4-abe5-e28555fa712f,Master Plan 2019 SDCP Car Lite Precinct Name layer,2020-01-25,2020-01-25,Annotation of the Car Lite Precinct Name in the Connectivity Plan. The Connectivity Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,cebf06da-8a65-49a7-82e6-4d861c5f1884,Master Plan 2019 SDCP Car Lite Precinct Name layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,e5778878-7e33-49ad-bbf5-95c9e468136f,Master Plan 2019 SDCP Civic District Boundary layer,2020-01-25,2020-01-25,Indication polygon of the Civic District Boundary in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,3e8cefb5-d4fe-4f66-9b4c-92acb56bb6d4,Master Plan 2019 SDCP Civic District Boundary layer (KML),na,KML
Urban Redevelopment Authority,e5778878-7e33-49ad-bbf5-95c9e468136f,Master Plan 2019 SDCP Civic District Boundary layer,2020-01-25,2020-01-25,Indication polygon of the Civic District Boundary in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,e5dc6e6c-7d81-432f-84c3-b030fd8208c5,Master Plan 2019 SDCP Civic District Boundary layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,361bc5ce-43e8-44df-8851-09a08568db3d,Master Plan 2019 SDCP Conservation Area layer,2020-01-25,2020-01-25,Indicative polygon of the Conservation Area in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,54710da4-edbd-45e1-a4eb-af44f6fc4afa,Master Plan 2019 SDCP Conservation Area layer (KML),na,KML
Urban Redevelopment Authority,361bc5ce-43e8-44df-8851-09a08568db3d,Master Plan 2019 SDCP Conservation Area layer,2020-01-25,2020-01-25,Indicative polygon of the Conservation Area in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,cf56af6f-6990-4a50-addb-1b7ff4ce136a,Master Plan 2019 SDCP Conservation Area layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,ab1d4c50-7168-4bdb-ac2a-08906c8b7d68,Master Plan 2019 SDCP Integrated Transport Hub layer,2020-01-25,2020-01-25,Indicative point location of Integrated Transport Hub in the Connectivity Plan. The Connectivity Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,374db693-62bb-4518-8b68-48e6148e545e,Master Plan 2019 SDCP Integrated Transport Hub layer (KML),na,KML
Urban Redevelopment Authority,ab1d4c50-7168-4bdb-ac2a-08906c8b7d68,Master Plan 2019 SDCP Integrated Transport Hub layer,2020-01-25,2020-01-25,Indicative point location of Integrated Transport Hub in the Connectivity Plan. The Connectivity Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,459023ea-9c70-4976-9fb4-2f4d00f58f85,Master Plan 2019 SDCP Integrated Transport Hub layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,c1327b2b-6f94-4ceb-ab87-22b9304f7a6e,Master Plan 2019 SDCP Landed Housing Area layer,2020-01-25,2020-01-25,Indicative polygon of the Landed Housing Area in the Landed Housing Area Plan. Landed Housing Area Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,dbc979e5-524f-4231-8d6d-3c2e63e1f004,Master Plan 2019 SDCP Landed Housing Area layer (KML),na,KML
Urban Redevelopment Authority,c1327b2b-6f94-4ceb-ab87-22b9304f7a6e,Master Plan 2019 SDCP Landed Housing Area layer,2020-01-25,2020-01-25,Indicative polygon of the Landed Housing Area in the Landed Housing Area Plan. Landed Housing Area Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,60267082-16a4-4c1f-a730-a7f18771ca5d,Master Plan 2019 SDCP Landed Housing Area layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,60ccbb7b-80cf-49a9-8821-2027a6768891,Master Plan 2019 SDCP Landed Housing Area Leader Line layer,2020-01-25,2020-01-25,Leader line of landed housing area text layer in the Landed Housing Area in the Landed Housing Area Plan. Landed Housing Area Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,801daebb-acd4-47ed-bb42-c3c3496377b0,Master Plan 2019 SDCP Landed Housing Area Leader Line layer (KML),na,KML
Urban Redevelopment Authority,60ccbb7b-80cf-49a9-8821-2027a6768891,Master Plan 2019 SDCP Landed Housing Area Leader Line layer,2020-01-25,2020-01-25,Leader line of landed housing area text layer in the Landed Housing Area in the Landed Housing Area Plan. Landed Housing Area Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,f2e6e5a0-9f63-4324-b105-96cb61dad9b8,Master Plan 2019 SDCP Landed Housing Area Leader Line layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,b6d88221-c470-4630-a0c0-871fcb6ac422,Master Plan 2019 SDCP Landed Housing Area Text layer,2020-01-25,2020-01-25,Annotation of the landed housing area layer in the Landed Housing Area in the Landed Housing Area Plan. Landed Housing Area Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,499f786d-74d6-4dc6-8254-781d637eaa0a,Master Plan 2019 SDCP Landed Housing Area Text layer (KML),na,KML
Urban Redevelopment Authority,b6d88221-c470-4630-a0c0-871fcb6ac422,Master Plan 2019 SDCP Landed Housing Area Text layer,2020-01-25,2020-01-25,Annotation of the landed housing area layer in the Landed Housing Area in the Landed Housing Area Plan. Landed Housing Area Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,fcea069f-9dfa-44e6-9011-4ffceb07e3f9,Master Plan 2019 SDCP Landed Housing Area Text layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,7456d4b3-601c-4e76-8f3a-b1803d7b1557,Master Plan 2019 SDCP Monument layer,2020-01-25,2020-01-25,Indicative polygon of the monument boundary in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,898411ed-7590-41db-ac76-cf81a191115a,Master Plan 2019 SDCP Monument layer (KML),na,KML
Urban Redevelopment Authority,7456d4b3-601c-4e76-8f3a-b1803d7b1557,Master Plan 2019 SDCP Monument layer,2020-01-25,2020-01-25,Indicative polygon of the monument boundary in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,b976d48d-aa5a-4059-906f-b51426b7b664,Master Plan 2019 SDCP Monument layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,7bf286f9-c99e-4f23-bc7e-76130fd4a196,Master Plan 2019 SDCP Monument Number layer,2020-01-25,2020-01-25,Annotation of the Monument Number layer in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,3ec21542-ff2c-43f2-8549-f7a046db65a6,Master Plan 2019 SDCP Monument Number layer (KML),na,KML
Urban Redevelopment Authority,7bf286f9-c99e-4f23-bc7e-76130fd4a196,Master Plan 2019 SDCP Monument Number layer,2020-01-25,2020-01-25,Annotation of the Monument Number layer in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,b6b7baf1-bb44-40eb-8ed8-fbd97c8c7afe,Master Plan 2019 SDCP Monument Number layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,cb376d5e-1b11-4af1-a0e4-bcfb1226297c,Master Plan 2019 SDCP Monument Site layer,2020-01-25,2020-01-25,Indicative polygon of the monument site in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,a4909dda-ae2e-4318-83d4-de133591ed56,Master Plan 2019 SDCP Monument Site layer (KML),na,KML
Urban Redevelopment Authority,cb376d5e-1b11-4af1-a0e4-bcfb1226297c,Master Plan 2019 SDCP Monument Site layer,2020-01-25,2020-01-25,Indicative polygon of the monument site in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,56d294a3-df86-412d-83b8-01997779b372,Master Plan 2019 SDCP Monument Site layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,5c2f5ddc-4ff7-4c26-bea1-9265151ea557,Master Plan 2019 SDCP Nature Boundary layer,2020-01-25,2020-01-25,"Indicative polygon of boundary of Nature Reserve, National Park and Nature Area in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.",Adhoc,na,na,b5d5349b-4b55-4da5-b95f-96a12ac57e2f,Master Plan 2019 SDCP Nature Boundary layer (KML),na,KML
Urban Redevelopment Authority,5c2f5ddc-4ff7-4c26-bea1-9265151ea557,Master Plan 2019 SDCP Nature Boundary layer,2020-01-25,2020-01-25,"Indicative polygon of boundary of Nature Reserve, National Park and Nature Area in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.",Adhoc,na,na,e24f8dd3-e616-4a72-abd0-74f573884a48,Master Plan 2019 SDCP Nature Boundary layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,cf2fc7aa-7c9e-444f-a3e9-d649a234d3e4,Master Plan 2019 SDCP Nature Boundary Line layer,2020-01-25,2020-01-25,"Indicative line demarcating boundary at an offset from Nature Reserve, National Park and Nature Area in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.",Adhoc,na,na,9ec46552-6fa5-41cf-9038-fd728b113461,Master Plan 2019 SDCP Nature Boundary Line layer (KML),na,KML
Urban Redevelopment Authority,cf2fc7aa-7c9e-444f-a3e9-d649a234d3e4,Master Plan 2019 SDCP Nature Boundary Line layer,2020-01-25,2020-01-25,"Indicative line demarcating boundary at an offset from Nature Reserve, National Park and Nature Area in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.",Adhoc,na,na,af023e54-e0aa-4d77-a7aa-dc6bbc8fa8f4,Master Plan 2019 SDCP Nature Boundary Line layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,4ede3390-6da8-47e4-b14d-7113b25a7a3a,Master Plan 2019 SDCP Nature Boundary Text layer,2020-01-25,2020-01-25,Annotation of the Nature Boundaries in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,a4842ac2-bf0d-439a-9edb-8e1744607013,Master Plan 2019 SDCP Nature Boundary Text layer (KML),na,KML
Urban Redevelopment Authority,4ede3390-6da8-47e4-b14d-7113b25a7a3a,Master Plan 2019 SDCP Nature Boundary Text layer,2020-01-25,2020-01-25,Annotation of the Nature Boundaries in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,0041a48e-c851-4638-a4d5-b7cd67288074,Master Plan 2019 SDCP Nature Boundary Text layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,9951dca5-358e-4336-a8ba-64dcee5d3969,Master Plan 2019 SDCP Park and Open Space Text layer,2020-01-25,2020-01-25,Annotation of the Park and Open Space in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,7ab571ca-2eda-4414-add5-70319f807b02,Master Plan 2019 SDCP Park and Open Space Text layer (KML),na,KML
Urban Redevelopment Authority,9951dca5-358e-4336-a8ba-64dcee5d3969,Master Plan 2019 SDCP Park and Open Space Text layer,2020-01-25,2020-01-25,Annotation of the Park and Open Space in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,a182a845-6a37-42d2-ae42-5730b109c9a1,Master Plan 2019 SDCP Park and Open Space Text layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,d62974c6-5ba5-4fa8-8a4d-eed156c630b5,Master Plan 2019 SDCP Park Connector Line layer,2020-01-25,2020-01-25,Indicative alignment Park Connector in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,eaf2bb3b-a1f0-425f-9175-df1266601f07,Master Plan 2019 SDCP Park Connector Line layer (KML),na,KML
Urban Redevelopment Authority,d62974c6-5ba5-4fa8-8a4d-eed156c630b5,Master Plan 2019 SDCP Park Connector Line layer,2020-01-25,2020-01-25,Indicative alignment Park Connector in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,af52d928-181f-4a07-b147-50eab9afaf40,Master Plan 2019 SDCP Park Connector Line layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,da005892-b1d0-4282-83f4-0cc110f136df,Master Plan 2019 SDCP Park Connector Text layer,2020-01-25,2020-01-25,Annotation of the Park Connector in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,878b9570-9bb9-452a-8cf2-06d914c6d4fc,Master Plan 2019 SDCP Park Connector Text layer (KML),na,KML
Urban Redevelopment Authority,da005892-b1d0-4282-83f4-0cc110f136df,Master Plan 2019 SDCP Park Connector Text layer,2020-01-25,2020-01-25,Annotation of the Park Connector in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,0dee2dd5-b34e-4136-90b3-ff72303c08a5,Master Plan 2019 SDCP Park Connector Text layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,24e10539-656b-451d-a148-410dc39c3f6d,Master Plan 2019 SDCP Park Landscaped Rooftop layer,2020-01-25,2020-01-25,Indicative polygon of Landscaped Rooftop in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,8080d23f-d4ff-4cd8-a390-b9f351a64bba,Master Plan 2019 SDCP Park Landscaped Rooftop layer (KML),na,KML
Urban Redevelopment Authority,24e10539-656b-451d-a148-410dc39c3f6d,Master Plan 2019 SDCP Park Landscaped Rooftop layer,2020-01-25,2020-01-25,Indicative polygon of Landscaped Rooftop in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,c1085b2b-66ca-40d4-997c-29d7ff558a9c,Master Plan 2019 SDCP Park Landscaped Rooftop layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,191e2e94-4375-49e4-b5b6-aa278f3542f0,Master Plan 2019 SDCP Park Leader Line layer,2020-01-25,2020-01-25,Leader line of text in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,9603e2cf-8459-4db5-bba2-4a0b665e9dd7,Master Plan 2019 SDCP Park Leader Line layer (KML),na,KML
Urban Redevelopment Authority,191e2e94-4375-49e4-b5b6-aa278f3542f0,Master Plan 2019 SDCP Park Leader Line layer,2020-01-25,2020-01-25,Leader line of text in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,f89da265-df9c-4b8c-be57-428d272d1f7e,Master Plan 2019 SDCP Park Leader Line layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,d3bcdc44-0cd2-4aa6-8b1d-4462268f6093,"Master Plan 2019 SDCP Park Mall, Promenade and Public Link",2020-01-25,2020-01-25,"Indicative polygon of Mall, Promenade and Public link in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.",Adhoc,na,na,4736a433-2298-4d1c-9ad7-c525caaa4478,"Master Plan 2019 SDCP Park Mall, Promenade and Public Link (KML)",na,KML
Urban Redevelopment Authority,d3bcdc44-0cd2-4aa6-8b1d-4462268f6093,"Master Plan 2019 SDCP Park Mall, Promenade and Public Link",2020-01-25,2020-01-25,"Indicative polygon of Mall, Promenade and Public link in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.",Adhoc,na,na,dbda0156-0118-45ca-a534-f0ac4a17a5dc,"Master Plan 2019 SDCP Park Mall, Promenade and Public Link (GEOJSON)",na,GeoJSON
Urban Redevelopment Authority,e625e965-facc-474b-ba53-a9871cbbb574,Master Plan 2019 SDCP Public Space layer,2020-01-25,2020-01-25,Indicative point of the public space location in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,4c8e6961-cc00-43ed-9b10-5994251fe528,Master Plan 2019 SDCP Public Space layer (KML),na,KML
Urban Redevelopment Authority,e625e965-facc-474b-ba53-a9871cbbb574,Master Plan 2019 SDCP Public Space layer,2020-01-25,2020-01-25,Indicative point of the public space location in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,2454df13-025d-47b9-9af5-019b7c924861,Master Plan 2019 SDCP Public Space layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,0ddafac6-5a07-4397-ba0f-645dfc184589,Master Plan 2019 SDCP Street Block layer,2020-01-25,2020-01-25,Indicative polygon of the Street Blocks in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,d83c5c11-dd80-4e05-a839-086fcc627c40,Master Plan 2019 SDCP Street Block layer (KML),na,KML
Urban Redevelopment Authority,0ddafac6-5a07-4397-ba0f-645dfc184589,Master Plan 2019 SDCP Street Block layer,2020-01-25,2020-01-25,Indicative polygon of the Street Blocks in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,2e2fa4ee-ef4b-4300-952a-da7ac7d59884,Master Plan 2019 SDCP Street Block layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,951bcb13-d0d2-4203-9008-b0f71875d294,Master Plan 2019 SDCP UNESCO Heritage Site layer,2020-01-25,2020-01-25,Indicative polygon of the UNESCO World Heritage Site in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,c3cb3d35-f77b-469e-9a9d-906de502b2ec,Master Plan 2019 SDCP UNESCO Heritage Site layer (KML),na,KML
Urban Redevelopment Authority,951bcb13-d0d2-4203-9008-b0f71875d294,Master Plan 2019 SDCP UNESCO Heritage Site layer,2020-01-25,2020-01-25,Indicative polygon of the UNESCO World Heritage Site in the Conservation Area and Monuments Plan. The Conservation Area and Monuments Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,3dd1c7fb-4291-420d-aba4-e4b9ae3e42c1,Master Plan 2019 SDCP UNESCO Heritage Site layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,307954ad-27c7-4078-89fb-9f53cd995476,Master Plan 2019 SDCP Urban Design Area layer,2020-01-25,2020-01-25,Indicative polygon of the Urban Design Areas in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,b2ef2834-07a1-4faa-ba0e-9445d04a9f66,Master Plan 2019 SDCP Urban Design Area layer (KML),na,KML
Urban Redevelopment Authority,307954ad-27c7-4078-89fb-9f53cd995476,Master Plan 2019 SDCP Urban Design Area layer,2020-01-25,2020-01-25,Indicative polygon of the Urban Design Areas in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,9352abbe-e607-4f3c-be15-98760532ed6f,Master Plan 2019 SDCP Urban Design Area layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,0e874e81-6f6f-480a-bbc6-8235972adbf4,Master Plan 2019 SDCP Urban Design Corridor layer,2020-01-25,2020-01-25,Indicative polygon of the Urban Design Corridor area in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,02be23a4-fe64-48ce-b5c6-572b3a62300c,Master Plan 2019 SDCP Urban Design Corridor layer (KML),na,KML
Urban Redevelopment Authority,0e874e81-6f6f-480a-bbc6-8235972adbf4,Master Plan 2019 SDCP Urban Design Corridor layer,2020-01-25,2020-01-25,Indicative polygon of the Urban Design Corridor area in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,a64b8631-feeb-4e14-b69d-cb69dce1bcfd,Master Plan 2019 SDCP Urban Design Corridor layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,4cae71c9-67b8-43be-aa51-f153afd44f21,Master Plan 2019 SDCP Urban Design Guideline layer,2020-01-23,2020-01-25,Indicative polygon of the Urban Design Guideline areas in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,2c4f2141-a93c-4151-85d0-ebb4f482a37a,Master Plan 2019 SDCP Urban Design Guideline layer (KML),na,KML
Urban Redevelopment Authority,4cae71c9-67b8-43be-aa51-f153afd44f21,Master Plan 2019 SDCP Urban Design Guideline layer,2020-01-23,2020-01-25,Indicative polygon of the Urban Design Guideline areas in the Urban Design Element Plan. Urban Design Element Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,b235c7f4-f1be-4daa-9762-6dc8e4439dcb,Master Plan 2019 SDCP Urban Design Guideline layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,ffd390c0-df6f-47ff-b519-bd4a57fa75ad,Master Plan 2019 SDCP Waterbody layer,2020-01-25,2020-01-25,Indicative polygon of Waterbodies in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,289f6f27-d2ea-45ef-822c-468e743873e8,Master Plan 2019 SDCP Waterbody layer (KML),na,KML
Urban Redevelopment Authority,ffd390c0-df6f-47ff-b519-bd4a57fa75ad,Master Plan 2019 SDCP Waterbody layer,2020-01-25,2020-01-25,Indicative polygon of Waterbodies in the Parks and Waterbodies Plan. The Parks and Waterbodies Plan is a Special and Detailed Control Plan (SDCP) which provides guidelines and controls for specific area of development.,Adhoc,na,na,4da17b2d-790d-4e24-8d4f-2d32c3ab8728,Master Plan 2019 SDCP Waterbody layer (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,c754450d-ecbd-4b7d-8dc1-c07ee842c6d1,Master Plan 2019 Subzone Boundary (No Sea),2020-01-25,2020-01-25,"Indicative polygon of subzone boundary. 

To facilitate urban planning, the Urban Redevelopment Authority (URA) divides Singapore into regions, planning areas and subzones. 

The Planning Regions are divided into smaller Planning Areas. Each Planning Area is further divided into smaller subzones which are usually centred around a focal point such as neighbourhood centre or activity node. 

The Master Plan is a forward looking guiding plan for Singapore's development in the medium term over the next 10 to 15 years and the planning boundaries may not coincide with existing developments for some areas.",Adhoc,na,na,580e8e06-3428-496a-8a20-3439187c2174,Master Plan 2019 Subzone Boundary (No Sea) (KML),na,KML
Urban Redevelopment Authority,c754450d-ecbd-4b7d-8dc1-c07ee842c6d1,Master Plan 2019 Subzone Boundary (No Sea),2020-01-25,2020-01-25,"Indicative polygon of subzone boundary. 

To facilitate urban planning, the Urban Redevelopment Authority (URA) divides Singapore into regions, planning areas and subzones. 

The Planning Regions are divided into smaller Planning Areas. Each Planning Area is further divided into smaller subzones which are usually centred around a focal point such as neighbourhood centre or activity node. 

The Master Plan is a forward looking guiding plan for Singapore's development in the medium term over the next 10 to 15 years and the planning boundaries may not coincide with existing developments for some areas.",Adhoc,na,na,84b62d90-c1b7-4ada-acfc-f5874b5fd945,Master Plan 2019 Subzone Boundary (No Sea) (GEOJSON),na,GeoJSON
Urban Redevelopment Authority,ae8cea90-5012-4d20-abc9-8fec87cbc7c8,Master Plan 2019 Symbol Line layer,2020-01-25,2020-01-25,"Gross Plot Ratio, Nature Reserve, National Park and Conservation Area demarcation line place at offset from boundary. This layer is extracted from the Master Plan 2019 that was approved on 18 Nov 2019. For the latest Master Plan, please visit URA web site at https://www.ura.gov.sg/",Adhoc,na,na,26ffcc66-e116-4449-a298-e76189ee9525,Master Plan 2019 Symbol Line layer (KML),na,KML
